epoch,fold,timestamp,seconds,lr,cap_loss,clip_loss,val_loss,b1,b4,meteor,cider,is_best
202,2,2026-09-08 17:32:15,408.8,0.0001,18.5691,0.0000,,,,,,0
203,3,2026-09-08 17:38:34,375.8,0.0001,18.6666,0.0000,,,,,,0
204,4,2026-09-08 17:45:59,346.1,0.0001,20.0219,0.0000,,,,,0.0000,0
205,5,2026-09-08 17:51:09,307.2,0.0001,21.3055,0.0000,,,,,,0
206,6,2026-09-08 17:59:03,471.7,0.0001,22.6045,0.0000,,,,,,0
207,7,2026-09-08 18:05:52,405.9,0.0001,22.9140,0.0000,,,,,,0
208,8,2026-09-08 18:11:46,350.9,0.0001,24.0204,0.0000,,,,,,0
209,9,2026-09-08 18:18:01,372.4,0.0001,24.1044,0.0000,,,,,,0
210,10,2026-09-08 18:29:34,622.9,0.0001,24.3502,0.0000,23.4766,0.0000,0.0000,,0.0000,0
211,11,2026-09-08 18:34:58,321.6,0.0001,24.5879,0.0000,,,,,,0
212,12,2026-09-08 18:40:11,310.0,0.0001,24.6664,0.0000,,,,,,0
213,13,2026-09-08 18:46:45,391.3,0.0001,24.3170,0.0000,,,,,,0
214,14,2026-09-08 18:53:30,402.1,0.0001,25.2473,0.0000,,,,,,0
215,15,2026-09-08 18:59:40,367.4,0.0001,24.6668,0.0000,,,,,,0
216,16,2026-09-08 19:08:50,379.0,0.0001,24.2486,0.0000,,0.0000,0.0000,,0.0000,0
217,17,2026-09-08 19:13:49,295.6,0.0001,24.7247,0.0000,,,,,,0
218,18,2026-09-08 19:20:36,404.8,0.0001,24.0797,0.0000,,,,,,0
220,20,2026-09-08 22:12:52,461.7,0.0001,23.5868,0.0000,,,,,,0
221,1,2026-09-08 22:17:35,279.7,0.0001,23.9946,0.0000,,,,,,0
222,2,2026-09-08 22:26:47,354.2,0.0001,24.2048,0.0000,,0.0001,0.0000,,0.0000,0
223,3,2026-09-08 22:31:26,276.8,0.0001,24.7941,0.0000,,,,,,0
224,4,2026-09-08 22:36:47,317.8,0.0001,24.4691,0.0000,,,,,,0
225,5,2026-09-08 22:46:26,576.3,0.0001,24.8050,0.0000,23.4127,,,,,0
226,6,2026-09-08 22:53:27,413.9,0.0001,24.8829,0.0000,,,,,,0
227,7,2026-09-08 22:59:47,377.2,0.0001,24.8397,0.0000,,,,,,0
228,8,2026-09-08 23:08:39,360.2,0.0001,24.4167,0.0000,,0.0000,0.0000,,0.0000,0
229,9,2026-09-08 23:13:30,289.0,0.0001,24.5835,0.0000,,,,,,0
230,10,2026-09-08 23:20:05,392.0,0.0001,24.3859,0.0000,,,,,,0
231,11,2026-09-08 23:26:49,400.9,0.0001,24.0080,0.0000,,,,,,0
232,12,2026-09-08 23:32:54,362.8,0.0001,24.2385,0.0000,,,,,,0
233,13,2026-09-08 23:39:05,368.3,0.0001,24.3672,0.0000,,,,,,0
234,14,2026-09-08 23:49:56,460.5,0.0001,23.5486,0.0000,,0.0000,0.0000,,0.0000,0
235,15,2026-09-08 23:54:48,288.7,0.0001,24.3866,0.0000,,,,,,0
236,16,2026-09-09 00:01:18,387.3,0.0001,24.9858,0.0000,,,,,,0
237,17,2026-09-09 00:07:40,379.4,0.0001,24.4976,0.0000,,,,,,0
238,18,2026-09-09 00:15:00,436.4,0.0001,24.9336,0.0000,,,,,,0
239,19,2026-09-09 00:21:52,408.9,0.0001,24.9608,0.0000,,,,,,0
240,20,2026-09-09 00:33:59,556.1,0.0001,24.8304,0.0000,23.3764,0.0001,0.0000,,0.0000,0
241,1,2026-09-09 00:38:46,285.2,0.0001,24.9687,0.0000,,,,,,0
242,2,2026-09-09 00:45:06,376.7,0.0001,24.5502,0.0000,,,,,,0
243,3,2026-09-09 00:51:11,362.9,0.0001,23.7048,0.0000,,,,,,0
244,4,2026-09-09 00:57:01,347.2,0.0001,24.5287,0.0000,,,,,,0
245,5,2026-09-09 01:02:31,327.2,0.0001,24.5587,0.0000,,,,,,0
246,6,2026-09-09 01:14:10,514.0,0.0001,24.4627,0.0000,,0.0000,0.0000,,0.0000,0
247,7,2026-09-09 01:19:13,300.4,0.0001,24.6100,0.0000,,,,,,0
248,8,2026-09-09 01:24:43,327.3,0.0001,24.4793,0.0000,,,,,,0
249,9,2026-09-09 01:29:44,298.4,0.0001,24.5372,0.0000,,,,,,0
250,10,2026-09-09 01:35:27,340.1,0.0001,24.9316,0.0000,,,,,,0
251,11,2026-09-09 01:41:26,357.1,0.0001,24.5033,0.0000,,,,,,0
252,12,2026-09-09 01:50:52,379.8,0.0001,24.7459,0.0000,,0.0000,0.0000,,0.0000,0
253,13,2026-09-09 01:55:32,277.1,0.0001,24.4486,0.0000,,,,,,0
254,14,2026-09-09 02:02:44,429.0,0.0001,25.0913,0.0000,,,,,,0
255,15,2026-09-09 02:12:38,590.7,0.0001,24.7913,0.0000,23.3966,,,,,0
256,16,2026-09-09 02:18:36,353.8,0.0001,24.2921,0.0000,,,,,,0
257,17,2026-09-09 02:24:48,368.7,0.0001,24.7615,0.0000,,,,,,0
258,18,2026-09-09 02:35:09,447.7,0.0001,24.7675,0.0000,,0.0000,0.0000,,0.0000,0
259,19,2026-09-09 02:40:04,292.0,0.0001,24.2782,0.0000,,,,,,0
260,20,2026-09-09 02:45:18,311.9,0.0001,24.2447,0.0000,,,,,,0
261,1,2026-09-09 02:52:01,400.0,0.0001,24.0761,0.0000,,,,,,0
262,2,2026-09-09 02:59:29,445.2,0.0001,24.3099,0.0000,,,,,,0
263,3,2026-09-09 03:05:54,382.5,0.0001,24.5003,0.0000,,,,,,0
264,4,2026-09-09 03:15:36,388.5,0.0001,24.1755,0.0000,,,,,0.0000,0
265,5,2026-09-09 03:20:39,300.4,0.0001,24.7007,0.0000,,,,,,0
266,6,2026-09-09 03:28:23,461.4,0.0001,24.4317,0.0000,,,,,,0
267,7,2026-09-09 03:35:52,446.2,0.0001,24.2536,0.0000,,,,,,0
268,8,2026-09-09 03:42:19,383.4,0.0001,24.3351,0.0000,,,,,,0
269,9,2026-09-09 03:49:28,426.5,0.0001,24.3249,0.0000,,,,,,0
270,10,2026-09-09 04:04:39,732.2,0.0001,25.0244,0.0000,23.4793,0.0001,0.0000,,0.0000,0
271,11,2026-09-09 04:09:47,304.8,0.0001,24.9588,0.0000,,,,,,0
272,12,2026-09-09 04:16:27,395.4,0.0001,24.4862,0.0000,,,,,,0
273,13,2026-09-09 04:22:50,380.4,0.0001,24.6281,0.0000,,,,,,0
274,14,2026-09-09 04:29:41,408.6,0.0001,24.3608,0.0000,,,,,,0
275,15,2026-09-09 04:36:29,404.2,0.0001,23.6779,0.0000,,,,,,0
276,16,2026-09-09 04:45:55,380.2,0.0001,24.7830,0.0000,,0.0006,0.0000,,0.0000,0
277,17,2026-09-09 04:51:14,316.3,0.0001,24.4902,0.0000,,,,,,0
278,18,2026-09-09 05:00:00,522.0,0.0001,24.1612,0.0000,,,,,,0
279,19,2026-09-09 05:07:41,458.6,0.0001,24.4777,0.0000,,,,,,0
280,20,2026-09-09 05:14:48,423.1,0.0001,24.6898,0.0000,,,,,,0
281,1,2026-09-09 05:21:22,390.5,0.0001,24.6889,0.0000,,,,,,0
282,2,2026-09-09 05:31:06,399.2,0.0001,24.7183,0.0000,,0.0001,0.0000,,0.0000,0
283,3,2026-09-09 05:36:32,323.0,0.0001,24.6820,0.0000,,,,,,0
284,4,2026-09-09 05:43:33,418.6,0.0001,24.8191,0.0000,,,,,,0
285,5,2026-09-09 05:54:27,650.8,0.0001,24.7209,0.0000,23.3915,,,,,0
286,6,2026-09-09 06:03:00,509.6,0.0001,24.3937,0.0000,,,,,,0
287,7,2026-09-09 06:10:36,452.6,0.0001,24.3593,0.0000,,,,,,0
288,8,2026-09-09 06:19:44,367.6,0.0001,24.8140,0.0000,,0.0002,0.0000,,0.0000,0
289,9,2026-09-09 06:24:49,301.0,0.0001,24.2296,0.0000,,,,,,0
291,11,2026-09-09 09:24:57,497.7,0.0001,24.2580,0.0000,,,,,,0
292,12,2026-09-09 09:29:30,268.9,0.0001,24.4842,0.0000,,,,,,0
293,13,2026-09-09 09:34:05,272.2,0.0001,24.9993,0.0000,,,,,,0
294,14,2026-09-09 09:42:43,315.1,0.0001,23.9508,0.0000,,0.0001,0.0000,,0.0000,0
295,15,2026-09-09 09:47:29,283.3,0.0001,24.4330,0.0000,,,,,,0
296,16,2026-09-09 09:53:08,336.8,0.0001,24.8927,0.0000,,,,,,0
297,17,2026-09-09 09:59:52,401.1,0.0001,24.3776,0.0000,,,,,,0
298,18,2026-09-09 10:06:07,372.5,0.0001,24.1327,0.0000,,,,,,0
299,19,2026-09-09 10:12:22,372.0,0.0001,24.6187,0.0000,,,,,,0
301,1,2026-09-09 10:35:32,471.4,0.0001,24.7886,0.0000,,,,,,0
302,2,2026-09-09 10:48:28,773.2,0.0001,24.7924,0.0000,,,,,,0
303,3,2026-09-09 10:54:57,386.9,0.0001,24.5841,0.0000,,,,,,0
304,4,2026-09-09 10:59:38,277.6,0.0001,24.6906,0.0000,,,,,,0
305,5,2026-09-09 11:04:12,271.4,0.0001,24.7665,0.0000,,,,,,0
306,6,2026-09-09 11:12:35,317.5,0.0001,24.0585,0.0000,,0.0000,0.0000,,0.0000,0
307,7,2026-09-09 11:17:16,278.4,0.0001,24.4220,0.0000,,,,,,0
308,8,2026-09-09 11:22:50,331.2,0.0001,24.8204,0.0000,,,,,,0
309,9,2026-09-09 11:28:05,311.8,0.0001,24.8958,0.0000,,,,,,0
310,10,2026-09-09 11:33:45,336.6,0.0001,24.7116,0.0000,,,,,,0
311,11,2026-09-09 11:39:42,354.4,0.0001,24.4415,0.0000,,,,,,0
312,12,2026-09-09 11:48:40,346.8,0.0001,24.9120,0.0000,,0.0002,0.0000,,0.0000,0
313,13,2026-09-09 11:53:25,282.2,0.0001,24.0487,0.0000,,,,,,0
314,14,2026-09-09 11:58:47,318.9,0.0001,23.8963,0.0000,,,,,,0
315,15,2026-09-09 12:07:12,502.0,5e-05,24.7433,0.0000,23.3893,,,,,0
316,16,2026-09-09 12:12:21,306.8,0.0001,24.6587,0.0000,,,,,,0
317,17,2026-09-09 12:17:27,303.1,0.0001,24.6042,0.0000,,,,,,0
318,18,2026-09-09 12:26:39,355.5,0.0001,24.7843,0.0000,,0.0002,0.0000,,0.0000,0
319,19,2026-09-09 12:31:52,310.4,0.0001,25.1299,0.0000,,,,,,0
320,20,2026-09-09 12:36:46,291.5,0.0001,24.3819,0.0000,,,,,,0
321,1,2026-09-09 12:41:34,285.1,0.0001,24.6448,0.0000,,,,,,0
322,2,2026-09-09 12:47:13,335.4,0.0001,24.9097,0.0000,,,,,,0
323,3,2026-09-09 12:53:12,356.6,0.0001,24.4983,0.0000,,,,,,0
324,4,2026-09-09 13:01:21,302.8,0.0001,24.3205,0.0000,,0.0002,0.0000,,0.0000,0
325,5,2026-09-09 13:06:56,332.4,0.0001,24.8650,0.0000,,,,,,0
326,6,2026-09-09 13:13:23,384.3,0.0001,24.2225,0.0000,,,,,,0
327,7,2026-09-09 13:18:42,316.8,0.0001,24.2257,0.0000,,,,,,0
328,8,2026-09-09 13:23:31,286.4,0.0001,25.2479,0.0000,,,,,,0
329,9,2026-09-09 13:28:21,286.8,0.0001,25.1963,0.0000,,,,,,0
330,10,2026-09-09 13:40:26,555.1,0.0001,24.3930,0.0000,23.4106,0.0000,0.0000,,0.0000,0
331,11,2026-09-09 13:45:27,298.5,0.0001,24.1432,0.0000,,,,,,0
332,12,2026-09-09 13:50:44,314.2,0.0001,24.4691,0.0000,,,,,,0
333,13,2026-09-09 13:55:29,282.0,0.0001,24.6363,0.0000,,,,,,0
334,14,2026-09-09 14:01:11,339.4,0.0001,24.8573,0.0000,,,,,,0
336,16,2026-09-09 16:07:29,337.1,0.0001,24.8979,0.0000,,0.0013,0.0000,,0.0000,0
337,17,2026-09-09 16:12:21,288.9,0.0001,24.8711,0.0000,,,,,,0
338,18,2026-09-09 16:18:18,354.6,0.0001,24.8212,0.0000,,,,,,0
339,19,2026-09-09 16:23:09,287.8,0.0001,24.7532,0.0000,,,,,,0
340,20,2026-09-09 16:29:00,348.9,0.0001,24.2158,0.0000,,,,,,0
341,1,2026-09-09 16:34:55,352.2,0.0001,24.2847,0.0000,,,,,,0
342,2,2026-09-09 16:43:43,339.1,0.0001,24.4072,0.0000,,0.0001,0.0000,,0.0000,0
343,3,2026-09-09 16:48:18,271.7,0.0001,23.8757,0.0000,,,,,,0
344,4,2026-09-09 16:53:48,327.6,0.0001,24.6260,0.0000,,,,,,0
345,5,2026-09-09 17:02:42,530.9,0.0001,24.3699,0.0000,23.3626,,,,,0
346,6,2026-09-09 17:09:37,413.1,0.0001,24.3665,0.0000,,,,,,0
347,7,2026-09-09 17:15:35,354.5,0.0001,24.6397,0.0000,,,,,,0
348,8,2026-09-09 17:24:22,343.0,0.0001,24.6444,0.0000,,0.0000,0.0000,,0.0000,0
